,book_index,authors,original_title,image_url,average_rating,genre,tags
0,0,Suzanne Collins,The Hunger Games,https://images.gr-assets.com/books/1447303603l/2767052.jpg,4.34,"fiction, fantasy","fiction, fantasy Suzanne Collins The Hunger Games"
1,1,"J.K. Rowling, Mary GrandPré",Harry Potter and the Philosopher's Stone,https://images.gr-assets.com/books/1474154022l/3.jpg,4.44,"fantasy, fiction","fantasy, fiction J.K. Rowling, Mary GrandPré Harry Potter and the Philosopher's Stone"
2,2,Stephenie Meyer,Twilight,https://images.gr-assets.com/books/1361039443l/41865.jpg,3.57,"fantasy, fiction","fantasy, fiction Stephenie Meyer Twilight"
3,3,Harper Lee,To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680l/2657.jpg,4.25,"classics, fiction","classics, fiction Harper Lee To Kill a Mockingbird"
4,4,F. Scott Fitzgerald,The Great Gatsby,https://images.gr-assets.com/books/1490528560l/4671.jpg,3.89,"classics, fiction","classics, fiction F. Scott Fitzgerald The Great Gatsby"
5,5,John Green,The Fault in Our Stars,https://images.gr-assets.com/books/1360206420l/11870085.jpg,4.26,"fiction, romance","fiction, romance John Green The Fault in Our Stars"
6,6,J.R.R. Tolkien,The Hobbit or There and Back Again,https://images.gr-assets.com/books/1372847500l/5907.jpg,4.25,"fantasy, classics","fantasy, classics J.R.R. Tolkien The Hobbit or There and Back Again"
7,7,J.D. Salinger,The Catcher in the Rye,https://images.gr-assets.com/books/1398034300l/5107.jpg,3.79,"classics, fiction","classics, fiction J.D. Salinger The Catcher in the Rye"
8,8,Dan Brown,Angels & Demons ,https://images.gr-assets.com/books/1303390735l/960.jpg,3.85,"fiction, mystery","fiction, mystery Dan Brown Angels & Demons "
9,9,Jane Austen,Pride and Prejudice,https://images.gr-assets.com/books/1320399351l/1885.jpg,4.24,"classics, fiction","classics, fiction Jane Austen Pride and Prejudice"
10,10,Khaled Hosseini,The Kite Runner ,https://images.gr-assets.com/books/1484565687l/77203.jpg,4.26,"fiction, contemporary","fiction, contemporary Khaled Hosseini The Kite Runner "
11,11,Veronica Roth,Divergent,https://images.gr-assets.com/books/1328559506l/13335037.jpg,4.24,"fiction, fantasy","fiction, fantasy Veronica Roth Divergent"
12,12,"George Orwell, Erich Fromm, Celâl Üster",Nineteen Eighty-Four,https://images.gr-assets.com/books/1348990566l/5470.jpg,4.14,"fiction, fantasy","fiction, fantasy George Orwell, Erich Fromm, Celâl Üster Nineteen Eighty-Four"
13,13,George Orwell,Animal Farm: A Fairy Story,https://images.gr-assets.com/books/1424037542l/7613.jpg,3.87,"classics, fiction","classics, fiction George Orwell Animal Farm: A Fairy Story"
14,14,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,https://images.gr-assets.com/books/1358276407l/48855.jpg,4.1,"classics, history","classics, history Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944"
15,15,"Stieg Larsson, Reg Keeland",Män som hatar kvinnor,https://images.gr-assets.com/books/1327868566l/2429135.jpg,4.11,"fiction, mystery","fiction, mystery Stieg Larsson, Reg Keeland Män som hatar kvinnor"
16,16,Suzanne Collins,Catching Fire,https://images.gr-assets.com/books/1358273780l/6148028.jpg,4.3,"fantasy, romance","fantasy, romance Suzanne Collins Catching Fire"
17,17,"J.K. Rowling, Mary GrandPré, Rufus Beck",Harry Potter and the Prisoner of Azkaban,https://images.gr-assets.com/books/1499277281l/5.jpg,4.53,"fantasy, fiction","fantasy, fiction J.K. Rowling, Mary GrandPré, Rufus Beck Harry Potter and the Prisoner of Azkaban"
18,18,J.R.R. Tolkien, The Fellowship of the Ring,https://images.gr-assets.com/books/1298411339l/34.jpg,4.34,"fantasy, classics","fantasy, classics J.R.R. Tolkien  The Fellowship of the Ring"
19,19,Suzanne Collins,Mockingjay,https://images.gr-assets.com/books/1358275419l/7260188.jpg,4.03,"fiction, fantasy","fiction, fantasy Suzanne Collins Mockingjay"
20,20,"J.K. Rowling, Mary GrandPré",Harry Potter and the Order of the Phoenix,https://images.gr-assets.com/books/1387141547l/2.jpg,4.46,"fantasy, fiction","fantasy, fiction J.K. Rowling, Mary GrandPré Harry Potter and the Order of the Phoenix"
21,21,Alice Sebold,The Lovely Bones,https://images.gr-assets.com/books/1457810586l/12232938.jpg,3.77,"fiction, mystery","fiction, mystery Alice Sebold The Lovely Bones"
22,22,"J.K. Rowling, Mary GrandPré",Harry Potter and the Chamber of Secrets,https://images.gr-assets.com/books/1474169725l/15881.jpg,4.37,"fantasy, fiction","fantasy, fiction J.K. Rowling, Mary GrandPré Harry Potter and the Chamber of Secrets"
23,23,"J.K. Rowling, Mary GrandPré",Harry Potter and the Goblet of Fire,https://images.gr-assets.com/books/1361482611l/6.jpg,4.53,"fantasy, fiction","fantasy, fiction J.K. Rowling, Mary GrandPré Harry Potter and the Goblet of Fire"
24,24,"J.K. Rowling, Mary GrandPré",Harry Potter and the Deathly Hallows,https://images.gr-assets.com/books/1474171184l/136251.jpg,4.61,"fantasy, fiction","fantasy, fiction J.K. Rowling, Mary GrandPré Harry Potter and the Deathly Hallows"
25,25,Dan Brown,The Da Vinci Code,https://images.gr-assets.com/books/1303252999l/968.jpg,3.79,"fiction, thriller","fiction, thriller Dan Brown The Da Vinci Code"
26,26,"J.K. Rowling, Mary GrandPré",Harry Potter and the Half-Blood Prince,https://images.gr-assets.com/books/1361039191l/1.jpg,4.54,"fantasy, fiction","fantasy, fiction J.K. Rowling, Mary GrandPré Harry Potter and the Half-Blood Prince"
27,27,William Golding,Lord of the Flies ,https://images.gr-assets.com/books/1327869409l/7624.jpg,3.64,"classics, fiction","classics, fiction William Golding Lord of the Flies "
28,28,"William Shakespeare, Robert           Jackson",An Excellent conceited Tragedie of Romeo and Juliet,https://images.gr-assets.com/books/1327872146l/18135.jpg,3.73,"classics, fiction","classics, fiction William Shakespeare, Robert           Jackson An Excellent conceited Tragedie of Romeo and Juliet"
29,29,Gillian Flynn,Gone Girl,https://images.gr-assets.com/books/1339602131l/8442457.jpg,4.03,"mystery, crime","mystery, crime Gillian Flynn Gone Girl"
30,30,Kathryn Stockett,The Help,https://images.gr-assets.com/books/1346100365l/4667024.jpg,4.45,"fiction, contemporary","fiction, contemporary Kathryn Stockett The Help"
31,31,John Steinbeck,Of Mice and Men ,https://images.gr-assets.com/books/1437235233l/890.jpg,3.84,"classics, fiction","classics, fiction John Steinbeck Of Mice and Men "
32,32,Arthur Golden,Memoirs of a Geisha,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388367666l/930.jpg,4.08,"fiction, romance","fiction, romance Arthur Golden Memoirs of a Geisha"
33,33,E.L. James,Fifty Shades of Grey,https://images.gr-assets.com/books/1385207843l/10818853.jpg,3.67,"romance, fiction","romance, fiction E.L. James Fifty Shades of Grey"
34,34,"Paulo Coelho, Alan R. Clarke",O Alquimista,https://images.gr-assets.com/books/1483412266l/865.jpg,3.82,"fiction, classics","fiction, classics Paulo Coelho, Alan R. Clarke O Alquimista"
35,35,Lois Lowry,The Giver,https://images.gr-assets.com/books/1342493368l/3636.jpg,4.12,"fiction, classics","fiction, classics Lois Lowry The Giver"
36,36,C.S. Lewis,"The Lion, the Witch and the Wardrobe",https://images.gr-assets.com/books/1353029077l/100915.jpg,4.19,"fantasy, classics","fantasy, classics C.S. Lewis The Lion, the Witch and the Wardrobe"
37,37,Audrey Niffenegger,The Time Traveler's Wife,https://images.gr-assets.com/books/1437728815l/14050.jpg,3.95,"fiction, romance","fiction, romance Audrey Niffenegger The Time Traveler's Wife"
38,38,George R.R. Martin,A Game of Thrones,https://images.gr-assets.com/books/1436732693l/13496.jpg,4.45,"fiction, fantasy","fiction, fantasy George R.R. Martin A Game of Thrones"
39,39,Elizabeth Gilbert,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",https://images.gr-assets.com/books/1503066414l/19501.jpg,3.51,"memoir, travel","memoir, travel Elizabeth Gilbert Eat, pray, love: one woman's search for everything across Italy, India and Indonesia"
40,40,Rick Riordan,The Lightning Thief,https://images.gr-assets.com/books/1400602609l/28187.jpg,4.23,"fantasy, fiction","fantasy, fiction Rick Riordan The Lightning Thief"
41,41,Louisa May Alcott,Little Women,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475l/1934._SY475_.jpg,4.04,"classics, fiction","classics, fiction Louisa May Alcott Little Women"
42,42,"Charlotte Brontë, Michael Mason",Jane Eyre,https://images.gr-assets.com/books/1327867269l/10210.jpg,4.1,"fiction, ebooks","fiction, ebooks Charlotte Brontë, Michael Mason Jane Eyre"
43,43,Nicholas Sparks,The Notebook,https://images.gr-assets.com/books/1385738917l/15931.jpg,4.06,"fiction, romance","fiction, romance Nicholas Sparks The Notebook"
44,44,Yann Martel,Life of Pi,https://images.gr-assets.com/books/1320562005l/4214.jpg,3.88,"fantasy, classics","fantasy, classics Yann Martel Life of Pi"
45,45,Sara Gruen,Water for Elephants,https://images.gr-assets.com/books/1494428973l/43641.jpg,4.07,"fiction, romance","fiction, romance Sara Gruen Water for Elephants"
46,46,Markus Zusak,The Book Thief,https://images.gr-assets.com/books/1390053681l/19063.jpg,4.36,"fiction, classics","fiction, classics Markus Zusak The Book Thief"
47,47,Ray Bradbury,Fahrenheit 451,https://images.gr-assets.com/books/1351643740l/4381.jpg,3.97,"classics, fiction","classics, fiction Ray Bradbury Fahrenheit 451"
48,48,Stephenie Meyer,"New Moon (Twilight, #2)",https://images.gr-assets.com/books/1361039440l/49041.jpg,3.52,"fantasy, romance","fantasy, romance Stephenie Meyer New Moon (Twilight, #2)"
49,49,Shel Silverstein,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,https://images.gr-assets.com/books/1168052448l/30119.jpg,4.29,"poetry, classics","poetry, classics Shel Silverstein Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein"
50,50,Cassandra Clare,City of Bones,https://images.gr-assets.com/books/1432730315l/256683.jpg,4.12,"paranormal, romance","paranormal, romance Cassandra Clare City of Bones"
51,51,Stephenie Meyer,Eclipse,https://images.gr-assets.com/books/1361038355l/428263.jpg,3.69,"fantasy, romance","fantasy, romance Stephenie Meyer Eclipse"
52,52,Christopher Paolini,Eragon,https://images.gr-assets.com/books/1366212852l/113436.jpg,3.86,"fantasy, fiction","fantasy, fiction Christopher Paolini Eragon"
53,53,Douglas Adams,The Hitchhiker's Guide to the Galaxy,https://images.gr-assets.com/books/1327656754l/11.jpg,4.2,"fiction, fantasy","fiction, fantasy Douglas Adams The Hitchhiker's Guide to the Galaxy"
54,54,Aldous Huxley,Brave New World,https://images.gr-assets.com/books/1487389574l/5129.jpg,3.97,"classics, fiction","classics, fiction Aldous Huxley Brave New World"
55,55,Stephenie Meyer,Breaking Dawn,https://images.gr-assets.com/books/1361039438l/1162543.jpg,3.7,"fantasy, contemporary","fantasy, contemporary Stephenie Meyer Breaking Dawn"
56,56,Sue Monk Kidd,The Secret Life of Bees,https://images.gr-assets.com/books/1473454532l/37435.jpg,4.01,"fiction, classics","fiction, classics Sue Monk Kidd The Secret Life of Bees"
57,57,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,https://images.gr-assets.com/books/1405973850l/2956.jpg,3.8,"classics, fiction","classics, fiction Mark Twain, John Seelye, Guy Cardwell The Adventures of Huckleberry Finn"
58,58,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,https://images.gr-assets.com/books/1439632243l/24178.jpg,4.15,"classics, fiction","classics, fiction E.B. White, Garth Williams, Rosemary Wells Charlotte's Web"
59,59,Mark Haddon,The Curious Incident of the Dog in the Night-Time,https://images.gr-assets.com/books/1479863624l/1618.jpg,3.85,"fiction, classics","fiction, classics Mark Haddon The Curious Incident of the Dog in the Night-Time"
60,60,Paula Hawkins,The Girl on the Train,https://images.gr-assets.com/books/1490903702l/22557272.jpg,3.88,"mystery, fiction","mystery, fiction Paula Hawkins The Girl on the Train"
